Nations,Nation Check,Overlord,Eco Vassals,Eco Over.,Compare,MP Vassals,MP Over.,Compare,20% Total,Vassal Type,,L. Desire,Base,Comparison,Individual,Friend/Rival,Taxes,,Indep War?,Autonomy,Threshold,Chaotic?,Deceptive?,Honor?,Indep.?,Unity?,Ov. Culture,Ov. Religion,Non-aggression Pacts,Defensive Pacts,,Military Alliances,,Limit,Trade 1,Value,Trade 2,Value,Trade 3,Value,Trade 4,Value,Trade 5,Value,Trade 6,Value,Trade 7,Value,Trade 8,Value,Trade 9,Value,Trade 10,Value,Trade 11,Value,Trade 12,Value,Trade 13,Value,Trade 14,Value,Trade 15,Value,Raw Trade Income,Tariffs,Trade Income,NAPs,Def. Pacts,Mil. Pacts,Trades
Krigarstam,Krigarstam,Fellowship of the Crown,,,,,,,,Autonomous,0.25,19.70%,19.70%,42.60%,2.09%,0.00%,-5.00%,,,None,90.00%,FALSE,FALSE,FALSE,TRUE,FALSE,Pure Wrestler,Chàisg Durzit Faith,,Angiris Sancaelum,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.00,0.00,0,1,0,0
Kycerian Dominion,Kycerian Dominion,,"66,890.38","638,494.56",10.48%,"42,735.00","235,932.81",18.11%,5.72%,,,,,0.00%,,0.00%,,,,None,,,,,,,,,,Netsanet Republic,,Shakisu,,10,Netsanet Republic,"32,180.00",Shakisu,"19,887.50",Amaldim,"4,517.50",Kashin Aquanorix,"4,517.50",HlérHeim,"3,050.00",Trinitas,"8,200.00",,,,,,,,,,,,,,,,,,,"72,352.50",0.95,"68,734.88",0,1,1,6
Lialikidus,Lialikidus,Fellowship of the Crown,,,,,,,,,1.00,38.71%,38.71%,42.60%,0.61%,0.00%,-5.00%,,,None,-100.00%,TRUE,FALSE,FALSE,FALSE,FALSE,Pure Wrestler,Chàisg Durzit Faith,Trade Dominion of Ybyrákua,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.00,0.00,1,0,0,0
Los,Los,Terra Magicae,,,,,,,,Standard,1.00,71.50%,71.50%,65.99%,0.52%,0.00%,-5.00%,,,None,75.00%,FALSE,TRUE,TRUE,FALSE,FALSE,Domiczean,Bederatzuan,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.00,0.00,0,0,0,0
Lowy Combine,Lowy Combine,,"151,342.53","400,237.82",37.81%,"39,259.69","136,568.44",28.75%,13.31%,,,,,0.00%,,0.00%,,,,None,,,,,,,,,"Council of the Alonissos Isles, Gno’hdail Impireachd, Aethyrrajyam",Gno’hdail Impireachd,Onaokoku,Council of the Alonissos Isles,Aethyrrajyam,11,Council of the Alonissos Isles,"13,354.69",Nixond,"13,365.63",Onaokoku,"31,492.50",Skullantium,"14,470.00",Kiith Gaalsien,"5,235.94",Candentis Jalin,"10,175.00",Aethyllion Pradesh,"9,075.63",Alramia,"8,003.13",Kingdom of Nexus,"6,405.63",Carya,"9,763.00",,,,,,,,,,,"121,341.13",0.95,"115,274.07",3,2,2,10
Lundrium,Lundrium,Fellowship of the Crown,,,,,,,,Standard,1.00,68.93%,68.93%,42.60%,1.33%,0.00%,20.00%,,,None,130.00%,FALSE,FALSE,FALSE,FALSE,TRUE,Pure Wrestler,Chàisg Durzit Faith,,,,,,9,Clan Làidirsgith,"1,100.00",Karak Gazan,"3,062.50",Karak Drung,"6,297.50",Order of Rock and Stone,"2,031.25",,,,,,,,,,,,,,,,,,,,,,,"12,491.25",0.75,"9,368.44",0,0,0,4
Mās',Mās',Atlas'ii,,,,,,,,,1.00,116.76%,116.76%,106.45%,17.81%,0.00%,-5.00%,,,None,100.00%,FALSE,FALSE,FALSE,FALSE,FALSE,Den’glaic,Faigh’denic,"atlasii, terra Magicae",,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.00,0.00,2,0,0,0
Mātrentwo,Mātrentwo,,,,,,,,,,,,,0.00%,,0.00%,,,,None,,,,,,,,,Ironskin Kingdom,Jörðnar,Vzaria,Here Be Dragons,Extremely Radical Corta,9,Here Be Dragons,"33,194.00",Extremely Radical Corta,"6,635.94",Nixond,"13,365.63",Cabyarszag,"13,375.00",Aethyllion Pradesh,"9,075.63",Alramia,"8,003.13",,,,,,,,,,,,,,,,,,,"83,649.31",0.95,"79,466.85",1,2,2,6
Mazazuma,Mazazuma,Kingdom of Geloía,,,,,,,,Standard,1.00,98.41%,98.41%,77.82%,34.59%,0.00%,-5.00%,,,Both,-100.00%,TRUE,FALSE,FALSE,FALSE,FALSE,Geloíos,Dark Carnival,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.00,0.00,0,0,0,0
Nanakueyaltepetl,Nanakueyaltepetl,Terra Magicae,,,,,,,,Standard,1.00,115.53%,115.53%,65.99%,39.54%,0.00%,-5.00%,,,None,75.00%,FALSE,TRUE,FALSE,FALSE,FALSE,Domiczean,Bederatzuan,Azharid Caliphate,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.00,0.00,1,0,0,0
Netsanet Republic,Netsanet Republic,,"490,556.14","939,311.89",52.23%,"168,608.00","321,750.00",52.40%,20.93%,,,,,0.00%,,0.00%,,,,None,,,,,,,,,,,Kycerian Dominion,Azharid Caliphate,Shakisu,10,Kycerian Dominion,"23,862.50",Azharid Caliphate,"6,280.63",Grand Tetalay,"5,125.00",Ishmalkan Confederated Cities,"6,237.50",Ulanasa Republic,"3,070.31",Shakisu,"19,887.50",Kashin Aquanorix,"4,517.50",HlérHeim,"3,050.00",,,,,,,,,,,,,,,"72,030.94",0.95,"68,429.39",0,1,2,8
Nixond,Nixond,,"15,706.88","699,176.33",2.25%,"6,345.63","168,640.31",3.76%,1.20%,,,,,0.00%,,0.00%,,,,None,,,,,,,,,"Fray Ventos, Petty Imperium (idk what Constantine's nation is called)",Restored Arisii Confederation,Free City of Fray Ventos,Aethyrrajyam,Gno’hdail Impireachd,9,Restored Arisii Confederation,"5,410.63",Onaokoku,"31,492.50",Free City of Fray Ventos,"15,929.13",Lowy Combine,"15,179.06",Council of the Alonissos Isles,"13,354.69",Kiith Gaalsien,"5,235.94",Mātrentwo,"8,639.06",Gno’hdail Impireachd,"4,728.13",Clan Karatillion,"5,590.00",,,,,,,,,,,,,"105,559.13",0.95,"100,281.17",2,2,2,9
Onaokoku,Onaokoku,,"450,921.39","1,039,888.19",43.36%,"89,048.44","237,641.25",37.47%,16.17%,,,,,0.00%,,0.00%,,,,None,,,,,,,,,"Daoquia, Skullantium, Federation of the Winds, Alonissos Isles, Cadentis Jalin, Gno'hdail Impireachd, Aethyrrajyam",Aethyrrajyam,,,,10,Council of the Alonissos Isles,"13,354.69",Carya,"9,763.00",Aethyrrajyam,"34,250.00",Nixond,"13,365.63",Federation of the Winds,"29,260.00",Lowy Combine,"15,179.06",Caravan Republic of the Wonder-Oasis,"54,285.00",Candentis Jalin,"10,175.00",Kingdom of Geloía,"16,373.44",Free City of Fray Ventos,"15,929.13",,,,,,,,,,,"211,934.94",0.95,"201,338.19",7,1,0,10
Order of Rock and Stone,Order of Rock and Stone,Fellowship of the Crown,,,,,,,,Mercantile,1.00,58.33%,58.33%,42.60%,0.73%,0.00%,5.00%,,,None,100.00%,FALSE,FALSE,FALSE,FALSE,TRUE,Pure Wrestler,Chàisg Durzit Faith,,,,,,7,Clan Làidirsgith,"1,100.00",Karak Drung,"6,297.50",Karak Gazan,"3,062.50",Lundrium,"2,380.63",,,,,,,,,,,,,,,,,,,,,,,"12,840.63",0.75,"9,630.47",0,0,0,4
Principality of Kol'zaskopjeia,Principality of Kol'zaskopjeia,,,,,,,,,,,,,0.00%,,0.00%,,,,None,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.25,0.00,0,0,0,0
Psarades,Psarades,,,,,,,,,,,,,0.00%,,0.00%,,,,None,,,,,,,,,"Clan Làidirsgith, Quirian, Geloía",Ilioratica,,Kingdom of Geloía,,8,Fellowship of the Crown,"83,687.50",Here Be Dragons,"33,194.00",Shakisu,"19,887.50",Uqhuma Killa,"21,740.63",Terra Magicae,"3,953.13",Kingdom of Geloía,"16,373.44",Extremely Radical Corta,"6,635.94",Federation of the Winds,"29,260.00",Free City of Fray Ventos,,,,,,,,,,,,,,"214,732.13",1.25,"268,415.16",3,1,1,8
Q'awachu,Q'awachu,Uqhuma Killa,,,,,,,,Standard,1.00,48.13%,48.13%,29.10%,9.04%,0.00%,5.00%,,,None,-100.00%,TRUE,FALSE,FALSE,FALSE,TRUE,Killauaska,Killawki,,,,,,6,Uqhuma Killa,"21,740.63",Kawranti,"13,920.00",Wandon Council,"22,797.50",Vyraisos,"5,197.97",,,,,,,,,,,,,,,,,,,,,,,"63,656.09",1.25,"79,570.12",0,0,0,4
Rampart Republic,Rampart Republic,,,,,,,,,,,,,0.00%,,0.00%,,,,None,,,,,,,,,Tatawklei,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.00,0.00,1,0,0,0
Republyk Balresk,Republyk Balresk,,,,,,,,,,,,,0.00%,,0.00%,,,,None,,,,,,,,,,Nixond,,Restored Arisii Confederation,Free City of Fray Ventos,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.05,0.00,0,1,2,0
Restored Arisii Confederation,Restored Arisii Confederation,,"112,906.00","151,825.94",74.37%,"54,218.31","43,628.75",124.27%,39.73%,,,,,0.00%,,0.00%,,,,None,,,,,,,,,,Free City of Fray Ventos,Nixond,Free City of Fray Ventos,Republyk Balresk,8,Nixond,"13,365.63",Clan Karatillion,"5,590.00",Four Leagues of Trinity,"5,858.13",Annakpolis,"4,093.75",,,,,,,,,,,,,,,,,,,,,,,"28,907.50",1.00,"28,907.50",0,2,2,4
Shakisu,Shakisu,,"506,647.77","530,268.45",95.55%,"108,122.09","145,457.81",74.33%,33.98%,,,,,0.00%,,0.00%,,,,None,,,,,,,,,,,,Kycerian Dominion,Netsanet Republic,9,Kashin Aquanorix,"4,517.50",Kashin Olderia,"5,127.50",Kashin Corba,"9,152.50",Kycerian Dominion,"23,862.50",Netsanet Republic,"32,180.00",Brotherhood of Pikpik,"11,304.69",HlérHeim,"3,050.00",Trinitas,"8,200.00",Psarades,"53,880.00",,,,,,,,,,,,,"151,274.69",0.95,"143,710.95",0,0,2,9
Skullantium,Skullantium,,,,,,,,,,,,,0.00%,,0.00%,,,,None,,,,,,,,,"Ilikiu'Foriris, Uqhuma Killa, Kingdom of Geloia, Onaokoku, Nummum",Ilioratica,Daoquia,Ilikiu'Foriris,Federation of the Winds,6,Ilikiu'Foriris,"7,600.00",Federation of the Winds,"29,260.00",Lowy Combine,"15,179.06",Daoquia,"11,106.25",Ilioratica,"3,475.00",Candentis Jalin,"10,175.00",,,,,,,,,,,,,,,,,,,"76,795.31",1.25,"95,994.14",5,2,2,6
Spinelle,Spinelle,,,,,,,,,,,,,0.00%,,0.00%,,,,None,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.00,0.00,0,0,0,0
Talanrío,Talanrío,,,,,,,,,,,,,0.00%,,0.00%,,,,None,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.00,0.00,0,0,0,0
Terra Magicae,Terra Magicae,,"105,662.19","310,053.65",34.08%,"69,028.44","23,331.46",295.86%,65.99%,,,,,0.00%,,0.00%,,,,None,,,,,,,,,"Azharid Caliphate, mas",Ko'ch Q'ash,,Atlas'ii,Azharid Caliphate,6,Here Be Dragons,"33,194.00",Atlas'ii,"9,250.00",Psarades,"53,880.00",,,,,,,,,,,,,,,,,,,,,,,,,"96,324.00",1.25,"120,405.00",2,1,2,3
The Charter Territory of Riveria,The Charter Territory of Riveria,Free City of Fray Ventos,,,,,,,,,1.00,1.99%,1.99%,3.50%,3.50%,0.00%,-5.00%,,,None,100.00%,FALSE,FALSE,FALSE,FALSE,FALSE,Avirae,Great Math,,,,,,8,Federation of the Winds,"29,260.00",Free City of Fray Ventos,"15,929.13",,,,,,,,,,,,,,,,,,,,,,,,,,,"45,189.13",1.00,"45,189.13",0,0,0,2
The High Dukedom of Duloque,The High Dukedom of Duloque,,,,,,,,,,,,,0.00%,,0.00%,,,,None,,,,,,,,,Uqhuma Killa,,,Onaokoku,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.75,0.00,1,0,1,0
The Wild Fields,The Wild Fields,Followers of the Chosen,,,,,,,,Standard,1.00,23.54%,23.54%,11.52%,11.52%,0.00%,-5.00%,,,None,-100.00%,TRUE,FALSE,FALSE,FALSE,FALSE,Western Ents,The Mother,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.00,0.00,0,0,0,0
Theocratic Republic of Rekkatsija,Theocratic Republic of Rekkatsija,,,,,,,,,,,,,0.00%,,0.00%,,,,None,,,,,,,,,,Ilioratica,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.25,0.00,0,1,0,0
Trinitas,Trinitas,Atlas'ii,,,,,,,,Standard,1.00,135.89%,135.89%,106.45%,29.44%,0.00%,5.00%,,,Both,125.00%,FALSE,FALSE,TRUE,FALSE,TRUE,Den’glaic,Faigh’denic,Mās,,,,,9,Brotherhood of Pikpik,"11,304.69",Kycerian Dominion,"23,862.50",Psarades,"53,880.00",Vyraisos,"5,197.97",Atlas'ii,"9,250.00",Council of Otvori,"3,475.00",Mās',"15,397.25",Nanakueyaltepetl,"1,634.38",Shakisu,"19,887.50",,,,,,,,,,,,,"143,889.28",0.95,"136,694.82",1,0,0,9
Uisceam Grove,Uisceam Grove,,,,,,,,,,,,,0.00%,,0.00%,,,,None,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.00,0.00,0,0,0,0
Ulanasa Republic,Ulanasa Republic,Netsanet Republic,,,,,,,,Standard,1.00,32.75%,32.75%,20.93%,6.82%,0.00%,-5.00%,,,None,100.00%,FALSE,FALSE,FALSE,FALSE,FALSE,Andeneti,Ascensionism,,,,,,6,Netsanet Republic,"32,180.00",Grand Tetalay,"5,125.00",Ishmalkan Confederated Cities,"6,237.50",,,,,,,,,,,,,,,,,,,,,,,,,"43,542.50",1.25,"54,428.13",0,0,0,3
Uqhuma Killa,Uqhuma Killa,,"1,177,734.62","1,823,168.39",64.60%,"346,513.75","428,360.63",80.89%,29.10%,,,,,0.00%,,0.00%,,,,None,,,,,,,,,"Clan Làidirsgith, Jörðnar, Geshud, Galdukatu, Rausūn Cayharama, skullantium, Alonissos isles, Daoquia, Jalin, Federation of the winds, Ilikiu'foriris, Holy Kingdom of Duloque, Aethyrrajyam, Corta",,,Kingdom of Geloía,,13,Wandon Council,"22,797.50",Kawranti,"13,920.00",Q'awachu,"11,656.25",Aethyrrajyam,"34,250.00",Gran Prismatia,"15,643.75",Kingdom of Geloía,"16,373.44",Federation of the Winds,"29,260.00",Psarades,"53,880.00",Extremely Radical Corta,"6,635.94",Here Be Dragons,"33,194.00",Council of the Alonissos Isles,"13,354.69",Caravan Republic of the Wonder-Oasis,"54,285.00",Fellowship of the Crown,"83,687.50",,,,,"388,938.06",0.75,"291,703.55",14,0,1,13
Vyraisos,Vyraisos,Kingdom of Geloía,,,,,,,,Standard,1.00,77.48%,77.48%,77.82%,9.66%,0.00%,-5.00%,,,Both,-100.00%,TRUE,TRUE,FALSE,FALSE,FALSE,Geloíos,Dark Carnival,,Kingdom of Geloía,,,,6,Kingdom of Geloía,"16,373.44",Trinitas,"8,200.00",Azharid Caliphate,"6,280.63",Gran Prismatia,"15,643.75",Q'awachu,"11,656.25",,,,,,,,,,,,,,,,,,,,,"58,154.06",1.25,"72,692.58",0,1,0,5
Fellowship of the Crown,Fellowship of the Crown,,"3,385,615.67","2,873,596.66",117.82%,"992,521.72","1,042,738.13",95.18%,42.60%,,,,,0.00%,,0.00%,,,,None,,,,,,,,,,Uqhuma Killa,Kingdom of Geloía,,,13,Here Be Dragons,"33,194.00",Psarades,"53,880.00",Uqhuma Killa,"21,740.63",Caravan Republic of the Wonder-Oasis,"54,285.00",Kingdom of Geloía,"16,373.44",,,,,,,,,,,,,,,,,,,,,"179,473.06",0.95,"170,499.41",0,2,0,5
Wandon Council,Wandon Council,Uqhuma Killa,,,,,,,,Standard,1.00,29.28%,29.28%,29.10%,9.68%,-25.00%,10.00%,,,None,100.00%,FALSE,FALSE,FALSE,FALSE,FALSE,Killauaska,Killawki,,,,,,6,Uqhuma Killa,"21,740.63",Kawranti,"13,920.00",Q'awachu,"11,656.25",Alramia,"8,003.13",Federation of the Winds,"29,260.00",,,,,,,,,,,,,,,,,,,,,"84,580.00",1.25,"105,725.00",0,0,0,5
WrestleMania,WrestleMania,,,,,,,,,,,,,0.00%,,0.00%,,,,None,,,,,,,,,"Gno'hdail, Iron Kingdom",Ironskin Kingdom,Nixond,Jörðnar,Vzaria,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.95,0.00,2,2,2,0
Yuranisuk,Yuranisuk,Onaokoku,,,,,,,,March,1.00,31.12%,31.12%,16.17%,6.62%,0.00%,8.33%,,,Cultural,100.00%,FALSE,FALSE,FALSE,FALSE,TRUE,Shiawase,Saku-na-Hana,,,,,,9,Onaokoku,"31,492.50",Kiith Gaalsien,"5,235.94",,,,,,,,,,,,,,,,,,,,,,,,,,,"36,728.44",0.95,"34,892.02",0,0,0,2
City State of Kido,City State of Kido,,"108,786.70","181,401.35",59.97%,"37,895.00","36,902.94",102.69%,32.53%,,,,,0.00%,,0.00%,,,,,,,,,,,,,,Free City of Zephon,Unified Republic of Kaiarau,High City of Tirsil,Maatada Istara,9,Maatada Istara,"4,462.50",Free City of Zephon,"10,947.60",The Free Cities of Cupiditas,"18,141.00",High City of Tirsil,"9,718.50",The Kingdom of Lunar,"7,387.50",Hui Kai,"11,231.83",,,Unified Republic of Kaiarau,"4,287.50",,,,,,,,,,,,,,,"66,176.43",0.95,"62,867.60",0,2,2,7
Maatada Istara,Maatada Istara,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,The Despotate of Kaartiyek,City State of Kido,8,City State of Kido,"9,313.56",Mercati Emporium,"6,360.00",The Despotate of Kaartiyek,"1,000.00",The Dukedom of Sylicia,"4,049.38",The Statute of Order,"4,462.50",Malo'Sami,"2,650.31",,,,,,,,,,,,,,,,,,,"27,835.75",1.00,"27,835.75",0,0,2,6
Velken Bulwark,Velken Bulwark,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,Holy Council of Axhaea,,Akaḣpetoƞ,Remid Republic,9,The Gilded City,"4,709.38",Remid Republic,"11,728.75",Arethousa,"5,264.19",Ceavia,"3,337.50",Akaḣpetoƞ,"6,981.25",Free City of Erub-Kai,"8,098.75",Meridomus Kalleprii,"4,730.00",Principality of Skanderborg,"6,221.31",Kingdom of Jasper,"5,948.25",,,,,,,,,,,,,"57,019.38",0.95,"54,168.41",0,1,2,9
Thaandom of Fangkar,Thaandom of Fangkar,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,7,Clan of Skye ,"7,387.50",Tuk Dynasty,"3,047.50",Cóchua Kingdom,"3,887.50",,,,,,,,,,,,,,,,,,,,,,,,,"14,322.50",1.05,"15,038.63",0,0,0,3
Sarmatai Confederation,Sarmatai Confederation,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,"Scientarium, Khyxwuz",Jubal'on,,,,7,,,Khyxwuz,"4,462.50",Commonwealth of Gonaria,"4,042.50",Jubal'on,"3,368.75",Chernkov,"2,356.41",,,,,,,,,,,,,,,,,,,,,"14,230.16",1.05,"14,941.66",2,1,0,4
Alderdorf,Alderdorf,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,"Muranman, Imperial City of Soria",,,,,7,Murenman,"4,049.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,049.38",1.05,"4,251.84",2,0,0,1
Hanza Trade Republic,Hanza Trade Republic,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,7,Zastita,"2,800.00",Tautaspils,"2,782.50",Lauzydos,"4,730.00",Xiboda,"8,098.75",Holy Council of Axhaea,"3,533.75",Pucanje,"4,637.50",The Gilded City,"4,709.38",,,,,,,,,,,,,,,,,"31,291.88",1.05,"32,856.47",0,0,0,7
Kingdom of Jasper,Kingdom of Jasper,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,F.C Erub-Ka,The Awakened,,,,9,The Republic of Alyvosk,"6,704.50",Ceavia,"3,337.50",Queendom of Edithia,"2,650.00",Free City of Zephyrabad,"9,718.50",The Awakened,"4,462.50",Velken Bulwark,"4,300.00",Kingdom of Gallacia,"5,652.50",The Kingdom of Lunar,"7,387.50",The Trade Families of Kemakmura,"12,369.00",,,,,,,,,,,,,"56,582.00",0.95,"53,752.90",1,1,0,9
Tort Uli Xaliq,Tort Uli Xaliq,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.75,0.00,0,0,0,0
Saulka,Saulka,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,Poloma,Yayallpa,Grand Nimbusia,Alapadana,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.95,0.00,0,2,2,0
Imperial Theocracy of Borbenska,Imperial Theocracy of Borbenska,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,The Free City of Erub-Kai,,,The Gilded City,,8,Goldmongers,"3,222.00",Akali,"5,078.91",Elyen-Mev,"4,450.00",Free City of Erub-Kai,"8,098.75",The House,"4,152.50",The Jokers,"2,252.50",Grand Nimbusia,"4,515.00",,,,,,,,,,,,,,,,,"31,769.66",0.95,"30,181.17",1,0,1,7
Meridomus Kalleprii,Meridomus Kalleprii,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,Akaḣpetoƞ,,,,9,Arethousa,"5,264.19",Grand Principality of Onica,"4,300.00",Kingdom of the Aurore,"6,370.00",The Gilded City,"4,709.38",I’Hamon,"2,915.00",Akaḣpetoƞ,"6,981.25",Velken Bulwark,"4,300.00",Stratavia,"2,000.00",,,,,,,,,,,,,,,"36,839.81",0.95,"34,997.82",0,1,0,8
Lauzydos,Lauzydos,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,"Arethousa, Tribes of C'tis",Xiboda,The Gilded City,,,9,Elyen-Mev,"4,450.00",Magoen Lurraldea,"2,150.00",Arethousa,"5,264.19",Xiboda,"8,098.75",Ceavia,"3,337.50",Handle,"2,000.00",The Tribes of C’tis,"3,062.50",Holy Council of Axhaea,"3,533.75",Hanza Trade Republic,"8,758.75",,,,,,,,,,,,,"40,655.44",0.75,"30,491.58",2,2,0,9
Free City of Erub-Kai,Free City of Erub-Kai,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,"The Awakened, The imperial theocray of Borbenska, Zastita, Kingdom of Jasper",Malekate of Opolexion,,Malekate of Opolexion,,8,Velken Bulwark,"4,300.00",Akaḣpetoƞ,"6,981.25",Imperial Theocracy of Borbenska,"2,100.00",Terrum Aetheri,"5,980.00",Zastita,"2,800.00",The Awakened,"4,462.50",Magoen Lurraldea,"2,150.00",Kingdom of Gallacia,"5,652.50",Malekate of Opolexion,,,,,,,,,,,,,,"34,426.25",0.95,"32,704.94",4,1,1,8
Free City of Zephon,Free City of Zephon,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,High City of Tirsil,City State of Kido,,Unified Republic of Kaiarau,Jään Herruus,10,Jään Herruus,"3,962.50",The Amerian Republic,"8,466.88",Unified Republic of Kaiarau,"4,287.50",City State of Kido,"9,313.56",Him Maliataki,"2,000.00",Karak Helhein,"4,785.63",High City of Tirsil,"9,718.50",Terrum Aetheri,"5,980.00",The Free Cities of Cupiditas,"18,141.00",Hui Kai,"11,231.83",,,,,,,,,,,"77,887.39",0.95,"73,993.02",1,1,2,10
Queendom of Edithia,Queendom of Edithia,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,6,Kingdom of Jasper,"5,948.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,948.25",1.05,"6,245.66",0,0,0,1
Kingdom of Aeornia,Kingdom of Aeornia,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,Mebian Confederacy / Tarmarches / Elyen-Mev / Grand Principality of Onica,,,,,9,Mébian Confederation,"4,300.00",The Tarmarches,"5,060.00",Elyen-Mev,"4,450.00",Grand Principality of Onica,"4,300.00",Clan of Skye ,"7,387.50",Grand Nimbusia,"4,515.00",Alapadana,"2,186.25",Ceavia,"3,337.50",,,,,,,,,,,,,,,"35,536.25",0.95,"33,759.44",1,0,0,8
Tetóth Kegeth,Tetóth Kegeth,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,"Brotherhood of Dwarves, Council of Dehurkjols, Royal City of Gevero",Exodists of Amunkedat,,Clan Opolania (AI),Lohiida Dathinaal,7,Exodists of Amunkedat,"3,062.50",Lună sângeroasă,"4,042.50",Ashdayn,"4,300.00",Council of Dehurkjols,"3,537.19",Kup,"3,062.50",Jalpol,"4,170.00",Brotherhood of Dwarves,"3,062.50",,,,,,,,,,,,,,,,,"25,237.19",1.05,"26,499.05",3,1,2,7
Hadastan Commenwealth,Hadastan Commenwealth,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,10,Ascendant Regency of Newstar,"4,300.00",The Dukedom of Sylicia,"4,049.38",Republic of Rostora,"3,062.50",Nuanta,"3,475.00",Luminus,"3,062.50",Lysian Republic,"3,681.25",The Kingdom of Sk'o'chapr,"4,049.38",The Free Cities of Cupiditas,"18,141.00",High City of Tirsil,"9,718.50",,,,,,,,,,,,,"53,539.50",0.75,"40,154.63",0,0,0,9
Royal City of Gevero,Royal City of Gevero,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,Tetoth Kegeth,,,Jalpol,,7,Jalpol,"4,170.00",Goldmongers,"3,222.00",Lună sângeroasă,"4,042.50",Akalikania,"3,368.75",Karak Helhein,"4,785.63",Exodists of Amunkedat,"3,062.50",Kup,"3,062.50",,,,,,,,,,,,,,,,,"25,713.88",1.05,"26,999.57",1,0,1,7
Snow Dominion,Snow Dominion,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,"The Despotate of Kaartiyek/ Serenissima Res Publica Di Ghalivi, Sancta Discordia",Him Maliataki,The Statute of Order,Mercati Emporium,,9,The Despotate of Kaartiyek,"1,000.00",The Statute of Order,"4,462.50",Serenissima Res Publica Di Ghalivi,"8,098.75",Sancta Discordia,"6,998.75",Mercati Emporium,"6,360.00",The Kingdom of Lunar,"7,387.50",Môr Oer,"4,049.38",The Amerian Republic,"8,466.88",Malo'Sami,"2,650.31",,,,,,,,,,,,,"49,474.06",0.95,"47,000.36",2,2,1,9
The Kingdom of Hemia,The Kingdom of Hemia,Kingdom of Mimgrond,,,,,,,,Standard,1.00,19.72%,19.72%,9.86%,9.86%,0.00%,-5.00%,,,Cultural,100.00%,FALSE,FALSE,FALSE,FALSE,TRUE,Upper Duergar,The Grand Design,,,,,,5,Kingdom of Mimgrond,"7,140.00",Mach Republic,"5,390.00",Kh'nûll Diocese,"3,062.50",The Holy Realm of Herkunft,"2,650.00",The Safeguard,"4,730.00",,,,,,,,,,,,,,,,,,,,,"22,972.50",1.25,"28,715.63",0,0,0,5
